                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9033,                 2.1788,                 2.6022,                 0.7395,                0.65401,                0.71434,                0.54391,                 1.8349,                 2.3428,                  2.587,               0.008317,               0.008317,               0.008317
                     36,                 1.9118,                 2.1445,                 2.5878,                0.74074,                0.65266,                0.71517,                 0.5453,                 1.8325,                 2.3372,                 2.5849,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.9141,                 2.1959,                 2.6074,                0.74568,                0.65003,                 0.7173,                0.54759,                 1.8274,                 2.3291,                 2.5811,               0.008218,               0.008218,               0.008218
                     38,                 1.9088,                 2.1439,                 2.6011,                0.74122,                0.65641,                0.71846,                0.54904,                 1.8226,                 2.3227,                 2.5771,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.899,                 2.1511,                 2.5882,                0.73551,                0.66078,                0.71963,                0.55034,                 1.8198,                 2.3201,                 2.5748,               0.008119,               0.008119,               0.008119
                     40,                 1.8898,                 2.0868,                 2.5872,                0.73717,                0.66407,                0.72049,                0.55122,                 1.8168,                 2.3132,                 2.5713,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.8816,                 2.0691,                 2.5805,                 0.7379,                0.66381,                0.72095,                0.55199,                    inf,                 2.3061,                 2.5716,                0.00802,                0.00802,                0.00802
                     42,                   1.85,                 2.0619,                 2.5784,                0.74002,                0.66409,                0.72224,                0.55304,                 1.8123,                 2.3048,                 2.5698,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.8504,                 2.0454,                 2.5597,                0.74587,                0.66104,                0.72328,                0.55428,                    inf,                 2.3011,                 2.5675,               0.007921,               0.007921,               0.007921
                     44,                 1.8638,                 2.0606,                   2.58,                0.74628,                0.66174,                0.72367,                0.55508,                    inf,                 2.2983,                 2.5654,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.8761,                 2.0592,                 2.5838,                 0.7497,                0.65847,                0.72429,                0.55575,                 1.8073,                 2.2978,                 2.5642,               0.007822,               0.007822,               0.007822
                     46,                 1.8489,                 2.0232,                 2.5374,                0.74711,                  0.661,                0.72097,                0.55244,                 1.8054,                 2.2952,                 2.5626,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.8912,                 2.0117,                 2.5597,                0.74685,                0.66353,                0.72162,                0.55326,                 1.8044,                 2.2921,                 2.5618,               0.007723,               0.007723,               0.007723
                     48,                 1.8697,                 2.0055,                  2.541,                0.74816,                0.66424,                0.72237,                0.55408,                 1.8034,                 2.2858,                 2.5608,              0.0076735,              0.0076735,              0.0076735
                     49,                  1.847,                 1.9962,                 2.5482,                0.74872,                0.66445,                0.72314,                0.55488,                 1.8033,                 2.2787,                 2.5619,               0.007624,               0.007624,               0.007624
                     50,                 1.8582,                 1.9773,                  2.531,                0.74877,                0.66449,                0.72294,                0.55496,                 1.8017,                 2.2763,                  2.561,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.8475,                 1.9653,                 2.5371,                0.75003,                0.66489,                0.72344,                0.55558,                 1.8003,                 2.2725,                 2.5599,               0.007525,               0.007525,               0.007525
                     52,                 1.8123,                 1.9132,                  2.513,                0.75259,                 0.6645,                0.72361,                0.55604,                    1.8,                 2.2687,                   2.56,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.8608,                 1.9487,                 2.5312,                0.75395,                0.66356,                0.72385,                0.55643,                 1.7982,                 2.2694,                 2.5592,               0.007426,               0.007426,               0.007426
                     54,                 1.8102,                 1.9048,                 2.5246,                0.74924,                0.66864,                0.72444,                0.55662,                 1.7968,                 2.2673,                 2.5577,              0.0073765,              0.0073765,              0.0073765
