                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2701,                 5.4589,                 2.9295,                0.57608,                0.41732,                0.42793,                0.29751,                 2.1836,                 3.0878,                 2.9213,              0.0033305,              0.0033305,              0.0033305
                      2,                  2.273,                 3.5698,                 2.8658,                0.52854,                0.40989,                0.39757,                0.26525,                 2.3764,                 3.4033,                 3.0215,              0.0066309,              0.0066309,              0.0066309
                      3,                 2.4666,                 3.9208,                 3.0093,                0.48027,                0.31805,                0.29519,                0.18841,                 2.6109,                 4.3232,                 3.2426,              0.0098982,              0.0098982,              0.0098982
                      4,                 2.4772,                 3.8006,                 3.0206,                0.56922,                0.47774,                0.48939,                0.33369,                 2.3058,                 2.8326,                 2.9749,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3708,                 3.3165,                 2.9331,                0.63208,                0.53816,                 0.5687,                0.40072,                 2.1476,                 2.3874,                 2.8605,               0.009802,               0.009802,               0.009802
                      6,                 2.3231,                 3.0995,                 2.8793,                0.65434,                0.56884,                0.60614,                0.43291,                 2.0847,                 2.1688,                 2.7984,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.2508,                 2.8752,                  2.839,                 0.6876,                0.58684,                0.64896,                 0.4704,                 2.0105,                 2.0085,                 2.7393,               0.009703,               0.009703,               0.009703
                      8,                 2.2278,                 2.7857,                 2.8287,                0.65904,                0.63323,                0.67654,                0.49725,                 1.9684,                 1.9029,                 2.6936,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.1876,                 2.6739,                 2.7851,                0.71882,                0.63968,                0.69537,                0.51327,                 1.9321,                  1.809,                 2.6517,               0.009604,               0.009604,               0.009604
                     10,                 2.1778,                 2.6208,                 2.7801,                0.68855,                0.65551,                 0.7056,                0.52564,                 1.9003,                  1.757,                 2.6287,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.1405,                 2.5207,                 2.7492,                0.71742,                0.66399,                0.71952,                0.53829,                 1.8748,                 1.6976,                 2.6083,               0.009505,               0.009505,               0.009505
                     12,                 2.1315,                 2.4824,                 2.7451,                0.71377,                0.67162,                0.72536,                0.54608,                 1.8574,                 1.6763,                 2.5982,              0.0094555,              0.0094555,              0.0094555
                     13,                 2.1138,                 2.4453,                 2.7409,                0.71097,                0.68662,                0.73313,                0.55353,                 1.8432,                 1.6523,                 2.5872,               0.009406,               0.009406,               0.009406
                     14,                  2.118,                 2.4414,                 2.7304,                0.74632,                0.67213,                0.73762,                0.55779,                 1.8321,                 1.6324,                 2.5774,              0.0093565,              0.0093565,              0.0093565
                     15,                  2.088,                 2.3803,                  2.722,                0.72699,                 0.6917,                 0.7421,                0.56215,                 1.8223,                 1.6127,                 2.5694,               0.009307,               0.009307,               0.009307
                     16,                 2.0803,                 2.3395,                 2.7163,                 0.7314,                0.69406,                0.74577,                0.56615,                 1.8149,                 1.6016,                 2.5628,              0.0092575,              0.0092575,              0.0092575
                     17,                 2.0417,                 2.2895,                 2.6831,                0.73594,                0.69306,                0.74715,                0.56784,                 1.8087,                  1.593,                 2.5574,               0.009208,               0.009208,               0.009208
                     18,                 2.0806,                 2.2772,                 2.6936,                0.74397,                0.69316,                0.74834,                0.56966,                 1.8037,                 1.5804,                 2.5535,              0.0091585,              0.0091585,              0.0091585
